Benchmark;Variation in run 1 (%);Variation in run 2 (%);run to run variation (%)
fieldaccess.SetterBenchmark.methodHandleForField;0.39;0.21;0.06
fieldaccess.SetterBenchmark.methodHandleForSetter;0.49;0.47;0.53
fieldaccess.SetterBenchmark.reflectionField;0.09;0.08;0.02
fieldaccess.SetterBenchmark.reflectionSetter;1.03;1.34;0.13
fieldaccess.SetterBenchmark.varHandle;0.09;0.06;0.05
ObjectCacheBenchmark.cache;0.27;0.12;1.34
ObjectCacheBenchmark.constructor;0.96;0.06;0.58
ObjectCacheBenchmark.primitive;0.12;1.14;0.43
TimeBenchmark.currentTimeMillis;0.05;0.03;0.02
TimeBenchmark.localDate;1.83;2.22;0.32
TimeBenchmark.localDateTime;2.63;1.78;0.17
TimeBenchmark.nanoTime;0.01;0.00;0.01
TimeBenchmark.zonedDateTime;1.05;2.59;0.28


